gene_id,pep_id,contig,start,end,pred_score
gene:BU24DRAFT_416053,gene:BU24DRAFT_416053,ML978066,774,2306,0.000956215
gene:BU24DRAFT_445593,gene:BU24DRAFT_445593,ML978066,9625,11341,0.00019223966
gene:BU24DRAFT_360743,gene:BU24DRAFT_360743,ML978066,13342,14862,8.503978e-05
gene:BU24DRAFT_360745,gene:BU24DRAFT_360745,ML978066,15702,17711,5.818461e-05
gene:BU24DRAFT_469135,gene:BU24DRAFT_469135,ML978066,17732,19365,4.5287077e-05
gene:BU24DRAFT_403463,gene:BU24DRAFT_403463,ML978066,20584,21846,5.9565908e-05
gene:BU24DRAFT_469138,gene:BU24DRAFT_469138,ML978066,22952,24294,0.00025996674
gene:BU24DRAFT_416056,gene:BU24DRAFT_416056,ML978066,24417,25933,0.00050273817
gene:BU24DRAFT_445598,gene:BU24DRAFT_445598,ML978066,26222,27556,0.00017542993
gene:BU24DRAFT_429519,gene:BU24DRAFT_429519,ML978066,28503,30152,5.1629453e-05
gene:BU24DRAFT_127,gene:BU24DRAFT_127,ML978066,31625,32522,7.502468e-05
gene:BU24DRAFT_437989,gene:BU24DRAFT_437989,ML978066,33180,34529,0.00012228893
gene:BU24DRAFT_469144,gene:BU24DRAFT_469144,ML978066,35511,37753,9.307927e-05
gene:BU24DRAFT_360763,gene:BU24DRAFT_360763,ML978066,38591,40065,0.00014942096
gene:BU24DRAFT_416061,gene:BU24DRAFT_416061,ML978066,41389,42889,0.00043654675
gene:BU24DRAFT_416062,gene:BU24DRAFT_416062,ML978066,43298,44214,0.0007121582
gene:BU24DRAFT_416063,gene:BU24DRAFT_416063,ML978066,47994,50259,0.00083778484
gene:BU24DRAFT_205,gene:BU24DRAFT_205,ML978066,55582,57345,0.0010014201
gene:BU24DRAFT_187,gene:BU24DRAFT_187,ML978066,57346,58163,0.00078831427
gene:BU24DRAFT_188,gene:BU24DRAFT_188,ML978066,58164,60002,0.0007938537
gene:BU24DRAFT_339661,gene:BU24DRAFT_339661,ML978066,60778,61608,0.0006464783
gene:BU24DRAFT_469146,gene:BU24DRAFT_469146,ML978066,66434,67156,0.00018511715
gene:BU24DRAFT_416067,gene:BU24DRAFT_416067,ML978066,68469,70175,0.00014382557
gene:BU24DRAFT_316530,gene:BU24DRAFT_316530,ML978066,70562,71332,0.00017532114
gene:BU24DRAFT_416069,gene:BU24DRAFT_416069,ML978066,75105,76171,0.00010941168
gene:BU24DRAFT_456447,gene:BU24DRAFT_456447,ML978066,76412,77295,6.716618e-05
gene:BU24DRAFT_382221,gene:BU24DRAFT_382221,ML978066,77590,80107,8.8543915e-05
gene:BU24DRAFT_352,gene:BU24DRAFT_352,ML978066,80214,81408,7.474705e-05
gene:BU24DRAFT_416073,gene:BU24DRAFT_416073,ML978066,82431,84549,4.964536e-05
gene:BU24DRAFT_456451,gene:BU24DRAFT_456451,ML978066,84721,85305,5.3574364e-05
gene:BU24DRAFT_360792,gene:BU24DRAFT_360792,ML978066,87137,89015,8.331791e-05
gene:BU24DRAFT_338955,gene:BU24DRAFT_338955,ML978066,89513,92598,0.00010960393
gene:BU24DRAFT_413,gene:BU24DRAFT_413,ML978066,92747,94973,6.270782e-05
gene:BU24DRAFT_416076,gene:BU24DRAFT_416076,ML978066,99985,101978,7.1378556e-05
gene:BU24DRAFT_463,gene:BU24DRAFT_463,ML978066,105050,106619,9.418862e-05
gene:BU24DRAFT_469155,gene:BU24DRAFT_469155,ML978066,106511,108438,4.1693915e-05
gene:BU24DRAFT_416080,gene:BU24DRAFT_416080,ML978066,108613,109410,8.51414e-05
gene:BU24DRAFT_382242,gene:BU24DRAFT_382242,ML978066,109332,110744,5.777115e-05
gene:BU24DRAFT_456460,gene:BU24DRAFT_456460,ML978066,111631,112068,9.590476e-05
gene:BU24DRAFT_456461,gene:BU24DRAFT_456461,ML978066,113303,113750,0.00017155867
gene:BU24DRAFT_416084,gene:BU24DRAFT_416084,ML978066,113945,115562,0.00013296725
gene:BU24DRAFT_416085,gene:BU24DRAFT_416085,ML978066,115517,116259,0.00014276389
gene:BU24DRAFT_456464,gene:BU24DRAFT_456464,ML978066,116209,117641,0.0001142595
gene:BU24DRAFT_360822,gene:BU24DRAFT_360822,ML978066,117732,118841,7.9356716e-05
gene:BU24DRAFT_489,gene:BU24DRAFT_489,ML978066,117734,118093,8.935413e-05
gene:BU24DRAFT_456466,gene:BU24DRAFT_456466,ML978066,119329,120825,6.962777e-05
gene:BU24DRAFT_619,gene:BU24DRAFT_619,ML978066,122340,124995,7.656925e-05
gene:BU24DRAFT_403502,gene:BU24DRAFT_403502,ML978066,125483,126033,0.00012696299
gene:BU24DRAFT_686,gene:BU24DRAFT_686,ML978066,126917,129498,0.0001740472
gene:BU24DRAFT_487023,gene:BU24DRAFT_487023,ML978066,129605,135241,0.0010131805
gene:BU24DRAFT_429543,gene:BU24DRAFT_429543,ML978066,136190,138469,0.02469234
gene:BU24DRAFT_445630,gene:BU24DRAFT_445630,ML978066,140026,142242,0.15099424
gene:BU24DRAFT_438011,gene:BU24DRAFT_438011,ML978066,143071,144922,0.124513395
gene:BU24DRAFT_429546,gene:BU24DRAFT_429546,ML978066,145478,146359,0.010810208
gene:BU24DRAFT_469168,gene:BU24DRAFT_469168,ML978066,147560,149191,0.0017676105
gene:BU24DRAFT_339115,gene:BU24DRAFT_339115,ML978066,149351,150746,0.0006351818
gene:BU24DRAFT_403511,gene:BU24DRAFT_403511,ML978066,152469,152974,0.00012218386
gene:BU24DRAFT_445635,gene:BU24DRAFT_445635,ML978066,153226,155434,4.205818e-05
gene:BU24DRAFT_339297,gene:BU24DRAFT_339297,ML978066,156130,157239,0.00010188162
gene:BU24DRAFT_416094,gene:BU24DRAFT_416094,ML978066,156917,158416,6.449991e-05
gene:BU24DRAFT_360858,gene:BU24DRAFT_360858,ML978066,158534,159375,0.0001330879
gene:BU24DRAFT_416096,gene:BU24DRAFT_416096,ML978066,159286,161875,4.5790322e-05
gene:BU24DRAFT_788,gene:BU24DRAFT_788,ML978066,163436,164607,0.00010643391
gene:BU24DRAFT_789,gene:BU24DRAFT_789,ML978066,164608,166502,6.413528e-05
gene:BU24DRAFT_416099,gene:BU24DRAFT_416099,ML978066,168831,169488,0.00012924659
gene:BU24DRAFT_403518,gene:BU24DRAFT_403518,ML978066,170449,171203,9.43265e-05
gene:BU24DRAFT_836,gene:BU24DRAFT_836,ML978066,174043,174731,0.000116477204
gene:BU24DRAFT_892,gene:BU24DRAFT_892,ML978066,177531,182650,0.00010286642
gene:BU24DRAFT_891,gene:BU24DRAFT_891,ML978066,182651,183228,0.00013486369
gene:BU24DRAFT_416106,gene:BU24DRAFT_416106,ML978066,183574,185423,0.00013273513
gene:BU24DRAFT_487039,gene:BU24DRAFT_487039,ML978066,188383,190097,0.0001302015
gene:BU24DRAFT_416108,gene:BU24DRAFT_416108,ML978066,190471,191278,8.395593e-05
gene:BU24DRAFT_403523,gene:BU24DRAFT_403523,ML978066,191794,193932,7.17707e-05
gene:BU24DRAFT_382300,gene:BU24DRAFT_382300,ML978066,194430,197354,0.00023555043
gene:BU24DRAFT_469180,gene:BU24DRAFT_469180,ML978066,197657,199218,0.00026839593
gene:BU24DRAFT_487043,gene:BU24DRAFT_487043,ML978066,199938,201643,0.004566218
gene:BU24DRAFT_429559,gene:BU24DRAFT_429559,ML978066,202151,204346,0.005653167
gene:BU24DRAFT_952,gene:BU24DRAFT_952,ML978066,205160,205644,0.00015318295
gene:BU24DRAFT_429560,gene:BU24DRAFT_429560,ML978066,207089,209346,0.00017662735
gene:BU24DRAFT_339173,gene:BU24DRAFT_339173,ML978066,210691,210882,0.00020292177
gene:BU24DRAFT_487045,gene:BU24DRAFT_487045,ML978066,211735,213307,0.0005347467
gene:BU24DRAFT_382310,gene:BU24DRAFT_382310,ML978066,213824,214484,0.00035952107
gene:BU24DRAFT_438025,gene:BU24DRAFT_438025,ML978066,214868,216105,0.0002641401
gene:BU24DRAFT_338474,gene:BU24DRAFT_338474,ML978066,217313,219084,0.00022868442
gene:BU24DRAFT_990,gene:BU24DRAFT_990,ML978066,220172,222645,0.00012608535
gene:BU24DRAFT_360888,gene:BU24DRAFT_360888,ML978066,222795,224023,0.00071012933
gene:BU24DRAFT_487051,gene:BU24DRAFT_487051,ML978066,224186,226075,3.7387697e-05
gene:BU24DRAFT_403538,gene:BU24DRAFT_403538,ML978066,227180,229447,3.3560467e-05
gene:BU24DRAFT_982,gene:BU24DRAFT_982,ML978066,233201,234429,0.00012782948
gene:BU24DRAFT_416118,gene:BU24DRAFT_416118,ML978066,236496,238049,3.9239516e-05
gene:BU24DRAFT_469204,gene:BU24DRAFT_469204,ML978066,240970,241931,0.00014372854
gene:BU24DRAFT_416119,gene:BU24DRAFT_416119,ML978066,241875,243245,6.213947e-05
gene:BU24DRAFT_445661,gene:BU24DRAFT_445661,ML978066,243679,244635,0.0029476534
gene:BU24DRAFT_1062,gene:BU24DRAFT_1062,ML978066,244631,247229,0.00033825968
gene:BU24DRAFT_469206,gene:BU24DRAFT_469206,ML978066,250974,251408,9.444357e-05
gene:BU24DRAFT_456511,gene:BU24DRAFT_456511,ML978066,252518,253417,0.00010142626
gene:BU24DRAFT_382346,gene:BU24DRAFT_382346,ML978066,253845,257649,4.940522e-05
gene:BU24DRAFT_382348,gene:BU24DRAFT_382348,ML978066,257259,257835,6.124156e-05
gene:BU24DRAFT_360917,gene:BU24DRAFT_360917,ML978066,258023,261942,0.00040905178
gene:BU24DRAFT_360921,gene:BU24DRAFT_360921,ML978066,261844,263765,0.0040689786
gene:BU24DRAFT_469208,gene:BU24DRAFT_469208,ML978066,265420,267395,0.00068862684
gene:BU24DRAFT_403551,gene:BU24DRAFT_403551,ML978066,268233,268793,0.00011011054
gene:BU24DRAFT_469218,gene:BU24DRAFT_469218,ML978066,269089,270321,5.5901666e-05
gene:BU24DRAFT_416126,gene:BU24DRAFT_416126,ML978066,270611,273366,5.4306547e-05
gene:BU24DRAFT_416127,gene:BU24DRAFT_416127,ML978066,273247,274566,3.8789945e-05
gene:BU24DRAFT_339265,gene:BU24DRAFT_339265,ML978066,274904,277114,2.8094311e-05
gene:BU24DRAFT_403556,gene:BU24DRAFT_403556,ML978066,280007,280406,3.5054276e-05
gene:BU24DRAFT_416132,gene:BU24DRAFT_416132,ML978066,281654,282043,6.6976136e-05
gene:BU24DRAFT_416133,gene:BU24DRAFT_416133,ML978066,282073,283769,6.895658e-05
gene:BU24DRAFT_1487,gene:BU24DRAFT_1487,ML978066,285542,287270,4.984615e-05
gene:BU24DRAFT_382373,gene:BU24DRAFT_382373,ML978066,288227,290129,5.6910987e-05
gene:BU24DRAFT_416137,gene:BU24DRAFT_416137,ML978066,290028,291082,0.00020429306
gene:BU24DRAFT_1437,gene:BU24DRAFT_1437,ML978066,291162,291767,8.4986495e-05
gene:BU24DRAFT_382381,gene:BU24DRAFT_382381,ML978066,292465,296167,6.1194965e-05
gene:BU24DRAFT_1496,gene:BU24DRAFT_1496,ML978066,296040,296867,7.3489966e-05
gene:BU24DRAFT_487072,gene:BU24DRAFT_487072,ML978066,297347,298951,8.1222206e-05
gene:BU24DRAFT_403563,gene:BU24DRAFT_403563,ML978066,301549,303282,5.3955948e-05
gene:BU24DRAFT_416141,gene:BU24DRAFT_416141,ML978066,303624,305143,4.2862783e-05
gene:BU24DRAFT_1530,gene:BU24DRAFT_1530,ML978066,306325,308261,6.259509e-05
gene:BU24DRAFT_416144,gene:BU24DRAFT_416144,ML978066,308299,311266,2.6133997e-05
gene:BU24DRAFT_360963,gene:BU24DRAFT_360963,ML978066,311729,313374,2.8634386e-05
gene:BU24DRAFT_416147,gene:BU24DRAFT_416147,ML978066,313430,315057,7.60391e-05
gene:BU24DRAFT_312244,gene:BU24DRAFT_312244,ML978066,315112,317048,0.00024856118
gene:BU24DRAFT_403570,gene:BU24DRAFT_403570,ML978066,318826,321925,0.00021484488
gene:BU24DRAFT_416152,gene:BU24DRAFT_416152,ML978066,323561,325287,0.00026593485
gene:BU24DRAFT_487082,gene:BU24DRAFT_487082,ML978066,325677,328157,0.00045613287
gene:BU24DRAFT_337745,gene:BU24DRAFT_337745,ML978066,328227,332664,0.0005116361
gene:BU24DRAFT_438057,gene:BU24DRAFT_438057,ML978066,333151,334990,0.000314158
gene:BU24DRAFT_429598,gene:BU24DRAFT_429598,ML978066,337159,338012,0.00016117685
